title,company,location,salary,link
Sales Executive,Apogee,Dubai,Not disclosed,/jobad/ae63f4f57a537bf339ef8694e266d3e0b9
Site and Social Media Senior Manager,Persian Horizon,Dubai,Not disclosed,/jobad/ae63f4f57a2af9ad82921b9dae26ae8a6b
"Chief Recruiter ( Arabic fluency required, salary 19k AED / month + benefits)",Virtua Advanced Solution,Dubai,Not disclosed,/jobad/ae17c5c1c219b2a31fdcd323c812ffb30e
Product Manager,GCG Enterprise Solutions,Dubai,Not disclosed,/jobad/aeecce350637df53cf2253c09f582c9fed
Assistant Management Accountant,ITP Media Group,Dubai,Not disclosed,/jobad/ae3430f74a0d8db85f6694cecb5a9148c2
Reservation Supervisor,Deluxe Holiday Homes,Dubai,Not disclosed,/jobad/aeb430d886455ca893473ce5e557015b0e
Customer Success & Inventory Manager - CSIM,Keyper,Dubai,Not disclosed,/jobad/ae743cf67d7b097bd0e6fe2263811bd3b3
Operation Coordinator,Deluxe Holiday Homes,Dubai,Not disclosed,/jobad/ae56ecfb60627a076f465f95ffd10235b2
Project Manager,B-Reach Group,Dubai,Not disclosed,/jobad/ae7da95443574a3c3225a06393189b0b2b
Associate Director - Landscape,AECOM,Dubai,Not disclosed,/jobad/aec6a5e1285e60b2cb4cb41aadbceff062
Executive Chef,PALAZZO VERSACE DUBAI,Dubai,Not disclosed,/jobad/aea5366815d8a08d28950d4fa419a2df2c
Assistant Laundry Manager,Swissôtel,Dubai,Not disclosed,/jobad/ae8563052ca78b695ee9f577a12de15b86
Engineer - Electrical - Infra/Road/Street Lighting - RTA Dubai,AECOM,Dubai,Not disclosed,/jobad/aee1d0952b6d65dc3e6117ed0626c1b194
Front Office Receptionist (German Speaker),Rixos Hotels,Dubai,Not disclosed,/jobad/aecbad8eac9f7e43cf44f8623a3fabb583
Manager - Regulatory Compliance,IQ-EQ,Dubai,Not disclosed,/jobad/ae7164578c28defdeba999e42a1040ed8c
Asset & Property Management Expert,Star Services,Dubai,Not disclosed,/jobad/ae3098189388eafc2eea5e455988a50f95
Carpenter,Swissôtel,Dubai,Not disclosed,/jobad/ae57308a1ee67d2f6400b2529d20d55b39
Commis II - Moana,Sofitel,Dubai,Not disclosed,/jobad/ae20d6e4d2754e219a2011b788ebf8e7c4
Compliance and Regulatory Affairs Manager,HIKMA-SOLUTIONS,Dubai,Not disclosed,/jobad/ae5b140a5638f793ab1a7eb01b3af5b650
Account Manager,B-Reach Group,Dubai,Not disclosed,/jobad/ae13c19fd6960a90565688b4d37d28edda
